line_id,cover_A,cover_B,cover_C,service_A,service_B,service_C,bias_correction,min_run_hours,lost_sales_eur,excess_obsolescence_eur,conversion_cost_eur,working_capital_cost_eur,total_economic_cost_eur,service_achieved,utilisation_mean,production_units,mean_stock_units,capacity_shortfall_total,utilisation_max,default_total_cost_eur,saving_eur,assumption_fingerprint
L1,5.5,5.5,1.0,0.88,0.88,0.88,0.0,7.0,11882.037282669362,125380.1491534452,3752509.9373279647,121525.33309493784,4011297.456859017,0.9971573151422524,0.3231467213940551,9941569.72623784,806138.1963179958,0.0,0.4583707017700277,4056191.014191865,44893.55733284727,v0.1:703d09b1e1a7
L2,5.5,5.5,1.0,0.88,0.88,0.88,0.0,6.0,33851.48793832153,569425.8434780233,3943932.4849322936,65731.35060714648,4612941.166955785,0.9907062673794188,0.695855793931758,15678246.030972,447243.3190933284,0.0,0.8582592276831409,5111399.681850991,498458.5148952063,v0.1:703d09b1e1a7
L3,5.5,5.5,1.0,0.88,0.88,0.995,0.0,9.0,27744.48051312178,256067.27799682203,3813924.621294389,185287.42158480865,4283023.801389141,0.9977048805745244,0.3494622460656461,5909316.717392857,779829.2154242786,0.0,0.5710616461673731,4330558.303156189,47534.50176704768,v0.1:703d09b1e1a7
L4,5.5,5.5,1.0,0.88,0.88,0.9375,0.0,7.0,11905.164567197337,134895.80633413472,3792652.1934103672,127437.67951924064,4066890.84383094,0.9978086039792564,0.4444921544990365,13873728.312839087,845357.7362650498,0.0,0.5625411554423244,4095893.446553783,29002.602722842712,v0.1:703d09b1e1a7
